,train_sizes,train_mean,train_stdev,test_mean,test_stdev
0,1,59.73802119770513,1.341116367638026,60.95176767874413,6.290216681008971
1,2,56.174228721891836,1.031113704016108,58.63312100743317,5.132341416622686
2,3,56.519818364455475,0.7913161895238507,97.7625195731583,7.051863251621716
3,4,56.99038975953448,0.99522509402341,102.07786398746904,7.238756481190277
4,5,61.22051902624371,0.690196598252511,117.22458545997475,5.488553726206634
5,6,61.292140470497785,0.7151083957641124,117.22553695902127,7.353879038325086
6,7,61.552027677331964,0.7561937992542899,116.3787731576776,6.091284977806757
7,8,61.65443718029002,0.4737453849120929,116.87703543617867,5.072937916225188
8,9,61.92546136774289,0.42243686676276243,115.44769716730698,3.872310526699028
9,10,63.808354697256526,0.8360885081872543,121.77439871118584,7.526916471167672
10,11,64.41448724942882,0.8602521014544734,122.71337046343731,6.8149733688449174
11,12,65.51305761020073,0.8932617528192344,126.64565203694706,8.127342107247168
12,13,65.42717015618975,0.8252093616972297,127.72668283040483,6.688728381659833
13,14,65.43875313530047,1.3279171009108321,127.06892091095008,11.226872264035208
14,15,65.41403537672076,0.9408184730318994,127.80469326582093,8.267388240768678
15,16,65.63575339768764,0.7985791522502778,127.79666805336724,6.437870811939953
16,17,68.15629811774335,1.4945987800724303,133.5993062198251,11.843135279313742
17,18,68.13528139623966,0.4467845152929696,134.48064452455827,3.9756895610387737
18,19,68.20707168553325,0.9937834243821642,133.43019668097787,7.799936955462544
19,20,68.1736856084328,0.5554026707876142,133.96387397190998,4.8432747995963545
